여성 경량 반팔 다운 점퍼 BF265E,11,1,"335,200",20,100,NULL,54N 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438028_0_THNAIL_ORGINL_20240924222249767.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 스테디움넥 경량 다운 BF335E,11,1,"399,200",20,100,NULL,54N HDE,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/05/GQ2N24090541933_0_THNAIL_ORGINL_20240905104227562.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 숏 다운 점퍼 BF291E,11,1,"367,200",20,100,NULL,54N 02S,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438003_0_THNAIL_ORGINL_20240924220647847.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 플라워 퀼팅 자켓 BF7385,11,1,"303,200",20,100,NULL,54N BMY,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/10/02/GQ2N24100235503_0_THNAIL_ORGINL_20241007114606894.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 더블브레스트 롱코트 BF7390,11,1,"615,200",20,100,NULL,54N 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/10/02/GQ2N24100235493_0_THNAIL_ORGINL_20241004123750213.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 리버시블 퀼팅 다운 BF516E,11,1,"399,200",20,100,NULL,54N 166,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/10/GQ2N24091079046_0_THNAIL_ORGINL_20240910190755924.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 숏 다운 점퍼 BF291E,11,1,"367,200",20,100,NULL,54N 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438004_0_THNAIL_ORGINL_20240924220718365.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 스웨터 하이브리드 점퍼 BF273E,11,1,"351,200",20,100,NULL,54N 70V,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438001_0_THNAIL_ORGINL_20240924220614546.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 핸드메이드 피코트 BF821E,11,1,"447,200",20,100,NULL,54N HDE,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092437998_0_THNAIL_ORGINL_20240924220343971.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 숏 다운 점퍼 BF291E,11,1,"367,200",20,100,NULL,54N 70V,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438005_0_THNAIL_ORGINL_20240924220751666.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 스웨터 카라 다운 BF553E,11,1,"447,200",20,100,NULL,54N BMY,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438008_0_THNAIL_ORGINL_20240924220858215.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 니트소매 경량 다운 BF254E,11,1,"415,200",20,100,NULL,54N HDE,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/05/GQ2N24090541928_0_THNAIL_ORGINL_20240905103947158.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 울혼방 후드 트랙자켓 BF7441,11,1,"335,200",20,100,NULL,54N HDE,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438027_0_THNAIL_ORGINL_20240924222219829.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
